ID,Make,Model,Type,Origin,DriveTrain,EngineSize,Cylinders,HP,MPG_City,MPG_High,Weight,Wheelbase,Length,Invoice
71,Chevrolet,Tracker,SUV,usa,front,2.5,6,165,19,22,2866,98,163,19108
72,Chevrolet,Aveo 4dr,Sedan,usa,front,1.6,4,103,28,34,2370,98,167,10965
73,Chevrolet,Aveo LS 4dr hatch,Sedan,usa,front,1.6,4,103,28,34,2348,98,153,11802
74,Chevrolet,Cavalier 2dr,Sedan,usa,front,2.2,4,140,26,37,2617,104,183,13697
75,Chevrolet,Cavalier 4dr,Sedan,usa,front,2.2,4,140,26,37,2676,104,183,13884
76,Chevrolet,Cavalier LS 2dr,Sedan,usa,front,2.2,4,140,26,37,2617,104,183,15357
77,Chevrolet,Impala 4dr,Sedan,usa,front,3.4,6,180,21,32,3465,111,200,20095
78,Chevrolet,Malibu 4dr,Sedan,usa,front,2.2,4,145,24,34,3174,106,188,17434
79,Chevrolet,Malibu LS 4dr,Sedan,usa,front,3.5,6,200,22,30,3297,106,188,18639
80,Chevrolet,Monte Carlo LS 2dr,Sedan,usa,front,3.4,6,180,21,32,3340,111,198,20026
81,Chevrolet,Impala LS 4dr,Sedan,usa,front,3.8,6,200,20,30,3476,111,200,22931
82,Chevrolet,Impala SS 4dr,Sedan,usa,front,3.8,6,240,18,28,3606,111,200,25672
83,Chevrolet,Malibu LT 4dr,Sedan,usa,front,3.5,6,200,23,32,3315,106,188,21551
84,Chevrolet,Monte Carlo SS 2dr,Sedan,usa,front,3.8,6,200,18,28,3434,111,198,22222
85,Chevrolet,Astro,Sedan,usa,all,4.3,6,190,14,17,4605,111,190,23954
86,Chevrolet,Venture LS,Sedan,usa,front,3.4,6,185,19,26,3699,112,187,24518
87,Chevrolet,Corvette 2dr,Sports,usa,rear,5.7,8,350,18,25,3246,105,180,39068
88,Chevrolet,Corvette convertible 2dr,Sports,usa,rear,5.7,8,350,18,25,3248,105,180,45193
89,Chevrolet,Avalanche 1500,Truck,usa,all,5.3,8,295,14,18,5678,130,222,31689
90,Chevrolet,Colorado Z85,Truck,usa,all,2.8,4,175,18,23,3623,111,192,17070
91,Chevrolet,Silverado 1500 Regular Cab,Truck,usa,rear,4.3,6,200,15,21,4142,119,206,18480
92,Chevrolet,Silverado SS,Truck,usa,all,6,8,300,13,17,4804,144,238,35399
93,Chevrolet,SSR,Truck,usa,rear,5.3,8,300,16,19,4760,116,191,39306
94,Chevrolet,Malibu Maxx LS,Wagon,usa,front,3.5,6,200,22,30,3458,112,188,20394
95,Chrysler,PT Cruiser 4dr,Sedan,usa,front,2.4,4,150,22,29,3101,103,169,16919
96,Chrysler,PT Cruiser Limited 4dr,Sedan,usa,front,2.4,4,150,22,29,3105,103,169,20573
97,Chrysler,Sebring 4dr,Sedan,usa,front,2.4,4,150,22,30,3173,108,191,17805
98,Chrysler,Sebring Touring 4dr,Sedan,usa,front,2.7,6,200,21,28,3222,108,191,20284
99,Chrysler,300M 4dr,Sedan,usa,front,3.5,6,250,18,27,3581,113,198,27797
100,Chrysler,Concorde LX 4dr,Sedan,usa,front,2.7,6,200,21,29,3479,113,208,22452
101,Chrysler,Concorde LXi 4dr,Sedan,usa,front,3.5,6,232,19,27,3548,113,208,24909
102,Chrysler,PT Cruiser GT 4dr,Sedan,usa,front,2.4,4,220,21,27,3217,103,169,24172
103,Chrysler,Sebring convertible 2dr,Sedan,usa,front,2.4,4,150,22,30,3357,106,194,23451
104,Chrysler,300M Special Edition 4dr,Sedan,usa,front,3.5,6,255,18,27,3650,113,198,30884
105,Chrysler,Sebring Limited convertible 2dr,Sedan,usa,front,2.7,6,200,21,28,3448,106,194,28613
106,Chrysler,Town and Country LX,Sedan,usa,front,3.3,6,180,19,26,4068,119,201,25371
107,Chrysler,Town and Country Limited,Sedan,usa,front,3.8,6,215,18,25,4331,119,201,35063
108,Chrysler,Crossfire 2dr,Sports,usa,rear,3.2,6,215,17,25,3060,95,160,32033
109,Chrysler,Pacifica,Wagon,usa,rear,3.5,6,250,17,23,4675,116,199,28725
110,Dodge,Durango SLT,SUV,usa,all,4.7,8,230,15,21,4987,119,201,29472
111,Dodge,Neon SE 4dr,Sedan,usa,front,2,4,132,29,36,2581,105,174,12849
112,Dodge,Neon SXT 4dr,Sedan,usa,front,2,4,132,29,36,2626,105,174,14086
113,Dodge,Intrepid SE 4dr,Sedan,usa,front,2.7,6,200,21,29,3469,113,204,20502
114,Dodge,Stratus SXT 4dr,Sedan,usa,front,2.4,4,150,21,28,3182,108,191,17512
115,Dodge,Stratus SE 4dr,Sedan,usa,front,2.4,4,150,21,28,3175,108,191,18821
116,Dodge,Intrepid ES 4dr,Sedan,usa,front,3.5,6,232,18,27,3487,113,204,23058
117,Dodge,Caravan SE,Sedan,usa,front,2.4,4,150,20,26,3862,113,189,20508
118,Dodge,Grand Caravan SXT,Sedan,usa,all,3.8,6,215,18,25,4440,119,201,29812
119,Dodge,Viper SRT-10 convertible 2dr,Sports,usa,rear,8.3,10,500,12,20,3410,99,176,74451
120,Dodge,Dakota Regular Cab,Truck,usa,rear,3.7,6,210,16,22,3714,112,193,16264
121,Dodge,Dakota Club Cab,Truck,usa,rear,3.7,6,210,16,22,3829,131,219,18670
122,Dodge,Ram 1500 Regular Cab ST,Truck,usa,rear,3.7,6,215,16,21,4542,121,208,18076
123,Ford,Excursion 6.8 XLT,SUV,usa,all,6.8,10,310,10,13,7190,137,227,36494
124,Ford,Expedition 4.6 XLT,SUV,usa,front,4.6,8,232,15,19,5000,119,206,30468
125,Ford,Explorer XLT V6,SUV,usa,all,4,6,210,15,20,4463,114,190,26983
126,Ford,Escape XLS,SUV,usa,all,3,6,201,18,23,3346,103,173,20907
127,Ford,Focus ZX3 2dr hatch,Sedan,usa,front,2,4,130,26,33,2612,103,168,12482
128,Ford,Focus LX 4dr,Sedan,usa,front,2,4,110,27,36,2606,103,168,12906
129,Ford,Focus SE 4dr,Sedan,usa,front,2,4,130,26,33,2606,103,168,14496
130,Ford,Focus ZX5 5dr,Sedan,usa,front,2,4,130,26,33,2691,103,168,14607
131,Ford,Focus SVT 2dr,Sedan,usa,front,2,4,170,21,28,2750,103,168,17878
132,Ford,Taurus LX 4dr,Sedan,usa,front,3,6,155,20,27,3306,109,198,18881
133,Ford,Taurus SES Duratec 4dr,Sedan,usa,front,3,6,201,19,26,3313,109,198,20857
134,Ford,Crown Victoria 4dr,Sedan,usa,rear,4.6,8,224,17,25,4057,115,212,22856
135,Ford,Crown Victoria LX 4dr,Sedan,usa,rear,4.6,8,224,17,25,4057,115,212,25105
136,Ford,Crown Victoria LX Sport 4dr,Sedan,usa,rear,4.6,8,239,17,25,4057,115,212,27756
137,Ford,Freestar SE,Sedan,usa,front,3.9,6,193,17,23,4275,121,201,24498
138,Ford,Mustang 2dr (convertible),Sports,usa,rear,3.8,6,193,20,29,3290,101,183,16943
139,Ford,Mustang GT Premium convertible 2dr,Sports,usa,rear,4.6,8,260,17,25,3347,101,183,26875
140,Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,usa,front,3.9,8,280,17,24,3780,107,186,34483
141,Ford,F-150 Regular Cab XL,Truck,usa,rear,4.6,8,231,15,19,4788,126,211,19490
142,Ford,F-150 Supercab Lariat,Truck,usa,all,5.4,8,300,14,18,5464,133,218,29405
143,Ford,Ranger 2.3 XL Regular Cab,Truck,usa,rear,2.3,4,143,24,29,3028,111,188,13717
144,Ford,Focus ZTW,Wagon,usa,front,2,4,130,26,33,2702,103,178,16375
145,Ford,Taurus SE,Wagon,usa,front,3,6,155,19,26,3497,109,198,20457
146,GMC,Envoy XUV SLE,SUV,usa,front,4.2,6,275,15,19,4945,129,208,28922
147,GMC,Yukon 1500 SLE,SUV,usa,front,4.8,8,285,16,19,5042,116,199,31361
148,GMC,Yukon XL 2500 SLT,SUV,usa,all,6,8,325,13,17,6133,130,219,40534
149,GMC,Safari SLE,Sedan,usa,rear,4.3,6,190,16,20,4309,111,190,23215
150,GMC,Canyon Z85 SL Regular Cab,Truck,usa,rear,2.8,4,175,18,25,3351,111,192,14877
151,GMC,Sierra Extended Cab 1500,Truck,usa,rear,4.8,8,285,17,20,4548,144,230,22604
152,GMC,Sierra HD 2500,Truck,usa,all,6,8,300,13,18,5440,133,222,25759
153,GMC,Sonoma Crew Cab,Truck,usa,all,4.3,6,190,15,19,4083,123,208,23043
154,Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,asia,front,1.4,4,93,46,51,2732,103,175,18451
155,Honda,Insight 2dr (gas/electric),Hybrid,asia,front,2,3,73,60,66,1850,95,155,17911
156,Honda,Pilot LX,SUV,asia,all,3.5,6,240,17,22,4387,106,188,24843
157,Honda,CR-V LX,SUV,asia,all,2.4,4,160,21,25,3258,103,179,18419
158,Honda,Element LX,SUV,asia,all,2.4,4,160,21,24,3468,101,167,17334
159,Honda,Civic DX 2dr,Sedan,asia,front,1.7,4,115,32,38,2432,103,175,12175
160,Honda,Civic HX 2dr,Sedan,asia,front,1.7,4,117,36,44,2500,103,175,12996
161,Honda,Civic LX 4dr,Sedan,asia,front,1.7,4,115,32,38,2513,103,175,14531
162,Honda,Accord LX 2dr,Sedan,asia,front,2.4,4,160,26,34,2994,105,188,17924
163,Honda,Accord EX 2dr,Sedan,asia,front,2.4,4,160,26,34,3047,105,188,20080
164,Honda,Civic EX 4dr,Sedan,asia,front,1.7,4,127,32,37,2601,103,175,16265
165,Honda,Civic Si 2dr hatch,Sedan,asia,front,2,4,160,26,30,2782,101,166,17849
166,Honda,Accord LX V6 4dr,Sedan,asia,front,3,6,240,21,30,3349,108,190,21428
167,Honda,Accord EX V6 2dr,Sedan,asia,front,3,6,240,21,30,3294,105,188,24304
168,Honda,Odyssey LX,Sedan,asia,front,3.5,6,240,18,25,4310,118,201,22498
169,Honda,Odyssey EX,Sedan,asia,front,3.5,6,240,18,25,4365,118,201,24744
170,Honda,S2000 convertible 2dr,Sports,asia,rear,2.2,4,240,20,25,2835,95,162,29965
171,Hummer,H2,SUV,usa,all,6,8,316,10,12,6400,123,190,45815
172,Hyundai,Santa Fe GLS,SUV,asia,front,2.7,6,173,20,26,3549,103,177,20201
173,Hyundai,Accent 2dr hatch,Sedan,asia,front,1.6,4,103,29,33,2255,96,167,10107
174,Hyundai,Accent GL 4dr,Sedan,asia,front,1.6,4,103,29,33,2290,96,167,11116
175,Hyundai,Accent GT 2dr hatch,Sedan,asia,front,1.6,4,103,29,33,2339,96,167,11209
176,Hyundai,Elantra GLS 4dr,Sedan,asia,front,2,4,138,26,34,2635,103,178,12781
177,Hyundai,Elantra GT 4dr,Sedan,asia,front,2,4,138,26,34,2635,103,178,14207
178,Hyundai,Elantra GT 4dr hatch,Sedan,asia,front,2,4,138,26,34,2698,103,178,14207
179,Hyundai,Sonata GLS 4dr,Sedan,asia,front,2.7,6,170,19,27,3217,106,187,17574
180,Hyundai,Sonata LX 4dr,Sedan,asia,front,2.7,6,170,19,27,3217,106,187,18380
181,Hyundai,XG350 4dr,Sedan,asia,front,3.5,6,194,17,26,3651,108,192,22055
182,Hyundai,XG350 L 4dr,Sedan,asia,front,3.5,6,194,17,26,3651,108,192,23486
183,Hyundai,Tiburon GT V6 2dr,Sports,asia,front,2.7,6,172,19,26,3023,100,173,17101
184,Infiniti,G35 4dr,Sedan,asia,rear,3.5,6,260,18,26,3336,112,187,26157
185,Infiniti,G35 Sport Coupe 2dr,Sedan,asia,rear,3.5,6,280,18,26,3416,112,182,27536
186,Infiniti,G35 4dr,Sedan,asia,all,3.5,6,260,18,26,3677,112,187,29783
187,Infiniti,I35 4dr,Sedan,asia,front,3.5,6,255,19,26,3306,108,194,28320
188,Infiniti,M45 4dr,Sedan,asia,rear,4.5,8,340,17,23,3851,110,197,38792
189,Infiniti,Q45 Luxury 4dr,Sedan,asia,rear,4.5,8,340,17,23,3977,113,200,47575
190,Infiniti,FX35,Wagon,asia,rear,3.5,6,280,16,22,4056,112,189,31756
191,Infiniti,FX45,Wagon,asia,all,4.5,8,315,15,19,4309,112,189,33121
192,Isuzu,Ascender S,SUV,asia,all,4.2,6,275,15,20,4967,129,208,29977
193,Isuzu,Rodeo S,SUV,asia,front,3.2,6,193,17,21,3836,106,178,19261
194,Jaguar,X-Type 2.5 4dr,Sedan,europe,all,2.5,6,192,18,26,3428,107,184,27355
195,Jaguar,X-Type 3.0 4dr,Sedan,europe,all,3,6,227,18,25,3516,107,184,30995
196,Jaguar,S-Type 3.0 4dr,Sedan,europe,rear,3,6,235,18,26,3777,115,192,40004
197,Jaguar,S-Type 4.2 4dr,Sedan,europe,rear,4.2,8,294,18,28,3874,115,192,45556
198,Jaguar,S-Type R 4dr,Sedan,europe,rear,4.2,8,390,17,24,4046,115,192,57499
199,Jaguar,Vanden Plas 4dr,Sedan,europe,rear,4.2,8,294,18,28,3803,119,200,62846
200,Jaguar,XJ8 4dr,Sedan,europe,rear,4.2,8,294,18,28,3803,119,200,54656
201,Jaguar,XJR 4dr,Sedan,europe,rear,4.2,8,390,17,24,3948,119,200,68306
202,Jaguar,XK8 coupe 2dr,Sports,europe,rear,4.2,8,294,18,26,3779,102,187,63756
203,Jaguar,XK8 convertible 2dr,Sports,europe,rear,4.2,8,294,18,26,3980,102,187,68306
204,Jaguar,XKR coupe 2dr,Sports,europe,rear,4.2,8,390,16,23,3865,102,187,74676
205,Jaguar,XKR convertible 2dr,Sports,europe,rear,4.2,8,390,16,23,4042,102,187,79226
206,Jeep,Grand Cherokee Laredo,SUV,usa,front,4,6,195,16,21,3790,106,181,25686
207,Jeep,Liberty Sport,SUV,usa,all,2.4,4,150,20,24,3826,104,174,18973
208,Jeep,Wrangler Sahara convertible 2dr,SUV,usa,all,4,6,190,16,19,3575,93,150,23275
209,Kia,Sorento LX,SUV,asia,front,3.5,6,192,16,19,4112,107,180,18630
210,Kia,Optima LX 4dr,Sedan,asia,front,2.4,4,138,23,30,3281,106,186,14910
211,Kia,Rio 4dr manual,Sedan,asia,front,1.6,4,104,26,33,2403,95,167,9875
212,Kia,Rio 4dr auto,Sedan,asia,front,1.6,4,104,25,32,2458,95,167,10705
213,Kia,Spectra 4dr,Sedan,asia,front,1.8,4,124,24,32,2661,101,178,11630
214,Kia,Spectra GS 4dr hatch,Sedan,asia,front,1.8,4,124,24,32,2686,101,178,12830
215,Kia,Spectra GSX 4dr hatch,Sedan,asia,front,1.8,4,124,24,32,2697,101,178,13790
216,Kia,Optima LX V6 4dr,Sedan,asia,front,2.7,6,170,20,27,3279,106,186,16850
217,Kia,Amanti 4dr,Sedan,asia,front,3.5,6,195,17,25,4021,110,196,23764
218,Kia,Sedona LX,Sedan,asia,front,3.5,6,195,16,22,4802,115,194,19400
219,Kia,Rio Cinco,Wagon,asia,front,1.6,4,104,26,33,2447,95,167,11410
220,Land Rover,Range Rover HSE,SUV,europe,all,4.4,8,282,12,16,5379,113,195,65807
221,Land Rover,Discovery SE,SUV,europe,all,4.6,8,217,12,16,4576,100,185,35777
222,Land Rover,Freelander SE,SUV,europe,all,2.5,6,174,18,21,3577,101,175,23969
223,Lexus,GX 470,SUV,asia,all,4.7,8,235,15,19,4740,110,188,39838
224,Lexus,LX 470,SUV,asia,all,4.7,8,235,13,17,5590,112,193,56455
225,Lexus,RX 330,SUV,asia,all,3.3,6,230,18,24,4065,107,186,34576
226,Lexus,ES 330 4dr,Sedan,asia,front,3.3,6,225,20,29,3460,107,191,28755
227,Lexus,IS 300 4dr manual,Sedan,asia,rear,3,6,215,18,25,3255,105,177,27404
228,Lexus,IS 300 4dr auto,Sedan,asia,rear,3,6,215,18,24,3285,105,177,28611
229,Lexus,GS 300 4dr,Sedan,asia,rear,3,6,220,18,25,3649,110,189,36196
230,Lexus,GS 430 4dr,Sedan,asia,rear,4.3,8,300,18,23,3715,110,189,42232
231,Lexus,LS 430 4dr,Sedan,asia,rear,4.3,8,290,18,25,3990,115,197,48583
232,Lexus,SC 430 convertible 2dr,Sports,asia,rear,4.3,8,300,18,23,3840,103,178,55063
233,Lexus,IS 300 SportCross,Wagon,asia,rear,3,6,215,18,24,3410,105,177,28647
234,Lincoln,Navigator Luxury,SUV,usa,all,5.4,8,300,13,18,5969,119,206,46360
235,Lincoln,Aviator Ultimate,SUV,usa,front,4.6,8,302,13,18,4834,114,193,39443
236,Lincoln,LS V6 Luxury 4dr,Sedan,usa,rear,3,6,232,20,26,3681,115,194,29969
237,Lincoln,LS V6 Premium 4dr,Sedan,usa,rear,3,6,232,20,26,3681,115,194,33929
238,Lincoln,LS V8 Sport 4dr,Sedan,usa,rear,3.9,8,280,17,24,3768,115,194,36809
239,Lincoln,LS V8 Ultimate 4dr,Sedan,usa,rear,3.9,8,280,17,24,3768,115,194,39869
240,Lincoln,Town Car Signature 4dr,Sedan,usa,rear,4.6,8,239,17,25,4369,118,215,38418
241,Lincoln,Town Car Ultimate 4dr,Sedan,usa,rear,4.6,8,239,17,25,4369,118,215,41217
242,Lincoln,Town Car Ultimate L 4dr,Sedan,usa,rear,4.6,8,239,17,25,4474,124,221,46208
243,MINI,Cooper,Sedan,europe,front,1.6,4,115,28,37,2524,97,143,15437
244,MINI,Cooper S,Sedan,europe,front,1.6,4,163,25,34,2678,97,144,18137
245,Mazda,Tribute DX 2.0,SUV,asia,all,2,4,130,22,25,3091,103,173,19742
246,Mazda,Mazda3 i 4dr,Sedan,asia,front,2,4,148,26,34,2696,104,178,14525
247,Mazda,Mazda3 s 4dr,Sedan,asia,front,2.3,4,160,25,31,2762,104,179,15922
248,Mazda,Mazda6 i 4dr,Sedan,asia,front,2.3,4,160,24,32,3042,105,187,17817
249,Mazda,MPV ES,Sedan,asia,front,3,6,200,18,25,3812,112,188,26600
250,Mazda,MX-5 Miata convertible 2dr,Sports,asia,rear,1.8,4,142,23,28,2387,89,156,20701
251,Mazda,MX-5 Miata LS convertible 2dr,Sports,asia,rear,1.8,4,142,23,28,2387,89,156,23285
252,Mazda,RX-8 4dr automatic,Sports,asia,rear,1.3,,197,18,25,3053,106,174,23794
253,Mazda,RX-8 4dr manual,Sports,asia,rear,1.3,,238,18,24,3029,106,174,25179
254,Mazda,B2300 SX Regular Cab,Truck,asia,rear,2.3,4,143,24,29,2960,112,188,14070
255,Mazda,B4000 SE Cab Plus,Truck,asia,all,4,6,207,15,19,3571,126,203,20482
256,Mercedes-Benz,G500,SUV,europe,all,5,8,292,13,14,5423,112,186,71540
257,Mercedes-Benz,ML500,SUV,europe,all,5,8,288,14,17,4874,111,183,43268
258,Mercedes-Benz,C230 Sport 2dr,Sedan,europe,rear,1.8,4,189,22,30,3250,107,178,24249
259,Mercedes-Benz,C320 Sport 2dr,Sedan,europe,rear,3.2,6,215,19,26,3430,107,178,26435
260,Mercedes-Benz,C240 4dr,Sedan,europe,rear,2.6,6,168,20,25,3360,107,178,30071
261,Mercedes-Benz,C240 4dr,Sedan,europe,all,2.6,6,168,19,25,3360,107,178,31187
262,Mercedes-Benz,C320 Sport 4dr,Sedan,europe,rear,3.2,6,215,19,26,3430,107,178,33456
263,Mercedes-Benz,C320 4dr,Sedan,europe,rear,3.2,6,215,20,26,3450,107,178,35046
264,Mercedes-Benz,C320 4dr,Sedan,europe,all,3.2,6,215,19,27,3450,107,178,36162
265,Mercedes-Benz,C32 AMG 4dr,Sedan,europe,rear,3.2,6,349,16,21,3540,107,178,48522
266,Mercedes-Benz,CL500 2dr,Sedan,europe,rear,5,8,302,16,24,4085,114,196,88324
267,Mercedes-Benz,CL600 2dr,Sedan,europe,rear,5.5,12,493,13,19,4473,114,196,119600
268,Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,europe,rear,3.2,6,215,20,26,3770,107,183,41966
269,Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,europe,rear,5,8,302,17,22,3585,107,183,49104
270,Mercedes-Benz,E320 4dr,Sedan,europe,rear,3.2,6,221,19,27,3635,112,190,44849
271,Mercedes-Benz,E500 4dr,Sedan,europe,rear,5,8,302,16,20,3815,112,190,53382
272,Mercedes-Benz,S430 4dr,Sedan,europe,rear,4.3,8,275,18,26,4160,122,203,69168
273,Mercedes-Benz,S500 4dr,Sedan,europe,all,5,8,302,16,24,4390,122,203,80939
274,Mercedes-Benz,SL500 convertible 2dr,Sports,europe,rear,5,8,302,16,23,4065,101,179,84325
275,Mercedes-Benz,SL55 AMG 2dr,Sports,europe,rear,5.5,8,493,14,21,4235,101,179,113388
276,Mercedes-Benz,SL600 convertible 2dr,Sports,europe,rear,5.5,12,493,13,19,4429,101,179,117854
277,Mercedes-Benz,SLK230 convertible 2dr,Sports,europe,rear,2.3,4,192,21,29,3055,95,158,37548
278,Mercedes-Benz,SLK32 AMG 2dr,Sports,europe,rear,3.2,6,349,17,22,3220,95,158,52289
279,Mercedes-Benz,C240,Wagon,europe,rear,2.6,6,168,19,25,3470,107,179,31466
